"AGENCY 0","DATA 0","DATA TYPE 0","LOCATION 0","LOCATION TYPE 0","SOURCE 0","SOURCE TYPE 0","SUBJECT 0","TIME 0","TIME TYPE 0"
"National Centers for Environmental Information","-1.3473611334819533","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","1940-09","ISO_DATE"
"National Centers for Environmental Information","-1.5346230659019717","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","1958-02","ISO_DATE"
"National Centers for Environmental Information","-0.49289676602853644","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","1958-05","ISO_DATE"
"National Centers for Environmental Information","0.30692461318039416","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","1955-02","ISO_DATE"
"National Centers for Environmental Information","-0.2864273829672937","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","1954-11","ISO_DATE"
"National Centers for Environmental Information","-0.722075017413161","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","1925-07","ISO_DATE"
"National Centers for Environmental Information","-0.005918130893771604","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","1953-09","ISO_DATE"
"National Centers for Environmental Information","0.3452938183786557","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","1989-07","ISO_DATE"
"National Centers for Environmental Information","0.348324985211853","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","1939-03","ISO_DATE"
"National Centers for Environmental Information","1.0612822259533399","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","1939-05","ISO_DATE"
"National Centers for Environmental Information","-0.07408525145733687","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","1940-02","ISO_DATE"
"National Centers for Environmental Information","0.5481492207207517","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","1958-04","ISO_DATE"
"National Centers for Environmental Information","0.11510633147283546","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","1957-11","ISO_DATE"
"National Centers for Environmental Information","-0.9257475315373521","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","1956-04","ISO_DATE"
"National Centers for Environmental Information","-0.1191216686172393","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","1956-11","ISO_DATE"
"National Centers for Environmental Information","0.08767892194019684","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","1955-10","ISO_DATE"
"National Centers for Environmental Information","0.862074400192693","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","1908-09","ISO_DATE"
"National Centers for Environmental Information","1.4200909034032618","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","2004-11","ISO_DATE"
"National Centers for Environmental Information","-0.6124174371171817","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","1933-03","ISO_DATE"
"National Centers for Environmental Information","0.5472079924967204","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","1932-06","ISO_DATE"
"National Centers for Environmental Information","-0.1304489641555677","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","1930-06","ISO_DATE"
