Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,4.23,1.22,2.56,2.62,2.04,3.34,3.53,3.27,1.24,0.70,3.00,2.92
1896,1.46,3.03,3.91,2.10,3.58,4.13,9.44,2.54,4.32,2.41,3.23,1.62
1897,1.96,4.41,4.17,3.57,3.69,2.97,6.11,2.61,1.94,0.23,5.53,3.79
1898,5.21,2.23,5.71,2.63,3.41,3.71,3.99,6.17,1.49,4.36,3.09,2.39
1899,3.14,3.15,4.30,1.67,4.39,4.08,4.24,3.31,2.92,1.56,2.80,3.32
1900,2.63,3.72,3.32,1.49,2.38,3.95,6.12,3.41,1.13,2.91,4.73,1.78
1901,2.57,1.06,4.19,7.57,6.15,5.70,2.90,6.64,3.11,0.48,2.54,4.21
1902,2.11,1.72,3.85,3.51,2.49,5.27,5.44,2.57,2.26,3.11,1.50,4.71
1903,2.63,4.90,4.23,2.87,2.09,5.63,4.16,4.64,1.46,2.70,2.58,1.99
1904,3.01,2.45,5.28,3.62,3.58,4.21,4.42,3.74,1.73,1.59,0.58,2.53
1905,2.57,1.97,3.37,2.90,3.50,7.09,5.42,3.54,2.91,3.78,2.61,3.46
1906,2.07,1.20,3.55,2.03,2.78,4.31,5.15,6.51,3.57,3.31,1.22,3.26
1907,5.59,1.33,6.25,2.29,2.82,4.06,5.23,2.50,3.56,2.69,2.14,3.28
1908,2.10,3.32,6.46,3.67,5.08,2.53,3.99,3.25,0.95,1.05,0.80,2.73
1909,3.54,5.22,3.62,5.14,2.55,4.48,2.69,2.14,1.15,2.06,1.03,2.68
1910,6.08,4.04,0.51,2.76,3.32,2.88,2.25,1.97,4.82,1.78,1.68,2.77
1911,3.87,2.14,2.15,4.84,1.34,4.21,1.48,5.74,7.90,5.18,2.58,4.05
1912,1.93,1.64,4.76,4.25,1.86,4.85,7.16,4.03,3.44,2.17,1.01,2.88
1913,6.32,2.08,5.39,2.73,4.23,1.67,5.10,1.82,2.10,4.25,2.88,2.66
1914,2.38,3.08,2.43,4.22,3.20,4.44,1.95,5.01,1.27,2.66,1.33,4.62
1915,4.11,2.53,1.39,1.36,4.45,5.70,4.56,3.98,1.65,2.71,2.38,4.08
