Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,32.30,28.40,44.50,61.40,72.60,84.20,80.50,83.40,79.10,57.60,51.30,42.00
1896,34.50,37.30,39.80,65.90,78.00,78.80,81.90,80.40,73.00,56.50,53.30,37.90
1897,31.50,38.60,48.80,58.90,67.20,76.50,84.40,79.00,78.60,67.80,49.30,38.80
1898,37.90,36.70,54.30,55.70,71.50,82.90,86.30,81.80,78.40,63.50,47.50,36.40
1899,35.90,30.00,46.90,64.00,74.60,82.60,84.60,84.40,75.20,68.80,51.00,37.70
1900,37.40,35.50,40.10,59.30,74.60,81.30,84.70,87.20,81.30,70.60,49.90,37.80
1901,35.90,28.80,48.70,55.60,71.10,81.30,87.70,82.80,74.40,65.50,44.40,37.40
1902,34.10,31.20,51.20,56.40,74.30,76.60,83.60,78.70,75.00,64.90,57.10,38.00
1903,36.50,40.10,57.30,60.60,76.60,73.40,82.40,81.00,77.70,64.80,46.60,32.40
1904,30.90,35.40,49.10,54.50,72.60,78.70,81.90,80.30,77.10,64.50,49.50,35.90
1905,30.20,29.80,52.20,59.20,73.40,79.30,82.80,80.90,76.00,63.50,47.80,39.90
1906,44.10,39.10,40.20,62.60,72.80,79.60,82.50,84.20,79.30,62.40,51.80,38.90
1907,41.20,36.00,54.50,52.90,67.30,75.60,82.30,78.60,74.80,59.90,46.60,40.50
1908,35.90,35.60,53.00,61.10,71.60,81.30,86.00,82.00,82.60,67.80,51.50,40.30
1909,42.10,44.30,44.60,60.80,71.20,79.80,82.00,82.60,76.10,59.40,58.20,33.10
1910,34.60,35.10,59.80,63.00,68.90,76.40,84.30,84.40,77.00,67.10,41.40,32.00
1911,42.20,42.30,46.00,57.10,80.40,81.40,87.20,84.40,78.10,63.40,47.00,44.30
1912,27.50,32.40,44.20,64.00,75.00,78.60,82.90,78.20,78.10,65.80,50.80,43.10
1913,46.50,37.10,52.60,61.80,72.50,82.60,84.10,84.30,75.10,64.60,50.40,40.90
1914,39.10,31.00,42.30,60.20,73.40,83.00,84.00,84.70,75.70,68.30,51.50,33.80
1915,35.30,44.20,40.60,65.20,67.90,77.70,82.10,77.60,78.30,65.70,53.70,36.10
1916,45.00,34.90,42.20,57.60,73.80,75.10,86.80,84.40,75.10,67.10,52.60,39.00
1917,36.40,36.60,48.70,59.20,63.90,78.10,82.80,81.80,72.80,57.80,46.20,30.00
1918,23.50,42.30,55.60,59.00,78.40,78.80,84.20,87.50,69.60,66.80,49.40,45.00
1919,40.60,40.50,51.60,60.80,70.40,85.30,86.40,79.80,76.30,68.30,50.60,34.60
1920,30.90,35.00,53.10,56.90,70.20,78.20,81.00,80.20,76.50,69.20,46.20,39.60
1921,40.80,41.80,60.30,68.00,72.50,84.30,88.40,80.40,80.20,64.20,50.60,39.30
1922,34.80,44.10,49.80,62.40,74.90,81.30,84.20,81.30,80.80,66.20,51.10,42.20
1923,37.90,33.50,49.80,60.90,72.80,82.50,83.10,81.00,76.40,61.50,48.80,48.30
1924,35.80,34.50,42.60,58.70,64.10,78.20,82.00,82.50,70.50,67.00,50.00,37.40
1925,35.80,47.40,52.80,66.10,67.70,83.90,82.30,82.60,80.50,52.50,47.00,35.20
1926,35.00,38.40,41.40,55.40,73.90,76.90,84.40,83.40,75.90,60.70,47.40,36.30
1927,34.80,45.00,51.30,59.80,70.10,74.80,83.80,76.50,79.50,67.70,53.20,39.40
1928,36.40,39.20,46.10,55.10,70.90,75.40,83.50,84.20,69.80,66.30,48.60,41.60
1929,35.10,34.30,55.20,62.50,70.50,79.70,83.60,79.20,77.40,60.50,46.80,39.90
1930,38.20,46.80,46.30,61.90,74.60,81.10,87.40,82.80,80.30,61.20,50.90,35.40
1931,38.40,40.90,40.70,60.20,72.10,81.50,88.10,82.40,79.90,66.40,57.70,46.80
1932,47.30,46.20,40.80,59.70,73.60,82.20,84.40,85.30,79.40,64.20,48.70,43.20
1933,44.90,41.50,44.00,62.00,73.50,84.90,86.20,82.60,78.70,63.40,46.40,42.80
1934,39.80,29.50,45.30,61.10,77.10,86.90,89.10,80.90,78.70,64.70,52.80,38.30
1935,39.00,39.20,55.40,57.40,67.80,79.10,86.40,82.10,74.80,65.20,51.00,31.10
1936,30.50,32.90,51.60,55.30,76.10,81.40,87.60,85.60,79.40,64.30,47.00,43.50
1937,46.10,40.60,42.80,57.90,73.10,80.80,84.10,85.10,74.50,59.70,48.00,36.10
1938,37.40,45.80,55.50,63.40,72.00,78.70,85.20,86.40,74.60,67.90,55.30,39.30
1939,41.10,44.70,50.40,57.20,76.60,81.90,82.80,84.40,81.20,66.70,48.10,41.10
1940,23.50,37.20,41.50,56.70,70.60,80.30,84.40,81.20,72.80,62.60,48.00,45.30
1941,34.30,33.60,39.70,68.90,75.30,81.60,85.40,82.10,79.70,66.60,52.30,43.50
1942,36.20,33.70,49.50,65.80,74.90,81.40,84.80,80.70,75.80,65.10,50.70,34.80
1943,37.10,41.50,47.90,55.40,72.20,85.60,84.00,82.60,74.70,59.90,46.90,36.40
1944,38.60,41.00,44.70,58.00,80.80,83.80,85.80,84.20,74.60,62.80,49.20,34.00
1945,28.60,40.00,60.40,66.00,68.30,79.60,84.20,83.30,77.40,62.60,50.80,31.90
1946,39.60,41.10,60.60,60.80,70.30,79.90,84.60,77.70,78.80,69.00,55.30,44.20
1947,43.70,29.50,39.00,63.50,70.60,80.10,81.00,87.00,77.30,72.80,45.20,39.00
1948,28.00,42.20,53.40,65.10,71.40,81.10,83.80,82.30,76.80,59.70,55.60,41.70
1949,45.20,47.20,49.00,59.90,74.50,84.10,86.80,83.60,71.20,69.80,49.30,43.90
1950,49.40,39.80,43.40,55.80,72.90,79.30,80.40,80.80,72.90,67.00,45.70,33.50
1951,39.80,41.40,47.70,58.90,73.70,80.40,84.20,82.70,75.50,68.30,44.50,42.60
1952,42.00,42.30,46.40,61.40,69.50,84.20,88.00,82.30,77.50,60.10,52.80,40.50
1953,43.10,43.50,49.20,56.80,75.50,83.20,85.70,84.20,77.70,68.00,53.10,42.50
1954,37.90,46.20,46.80,68.70,68.30,81.20,84.50,80.20,78.00,64.50,49.20,37.40
