Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,14.20,10.30,25.10,39.60,47.10,59.00,57.20,58.80,56.50,34.60,31.90,25.40
1896,22.40,21.50,22.00,44.20,54.80,57.20,62.60,59.90,51.60,40.00,37.40,25.50
1897,19.90,25.30,31.40,37.70,45.40,54.90,64.10,57.10,49.00,41.70,33.60,27.30
1898,25.20,20.70,35.70,35.50,51.00,59.40,64.30,63.30,55.20,44.00,30.80,22.80
1899,18.60,14.00,29.10,39.80,51.80,59.20,61.40,59.90,52.30,43.00,34.50,23.80
1900,23.40,17.10,24.60,38.20,50.00,60.10,63.20,64.90,57.90,48.40,35.50,25.00
1901,21.90,13.20,30.20,36.60,50.10,58.60,67.20,62.50,53.20,39.60,30.50,22.20
1902,18.90,15.70,31.50,37.90,50.50,54.90,63.10,56.80,51.60,43.80,39.50,23.00
1903,19.90,22.40,38.90,38.70,50.90,54.70,61.50,58.70,51.20,42.40,27.10,16.60
1904,12.50,13.60,30.20,35.20,49.50,59.10,60.30,55.90,52.60,39.70,29.90,21.30
1905,14.90,14.40,31.90,37.30,50.50,59.00,63.40,59.80,52.60,41.90,31.00,26.60
1906,27.20,18.00,25.60,38.80,48.90,59.60,61.80,64.60,56.80,43.50,32.90,25.80
1907,22.90,16.80,35.30,34.40,44.50,53.80,61.20,56.70,55.30,36.30,31.80,26.30
1908,19.80,18.30,32.80,39.40,52.10,56.80,61.80,57.20,50.70,41.00,30.60,25.60
1909,25.40,27.10,27.70,38.30,48.10,60.00,58.40,58.20,50.10,36.40,37.20,18.60
1910,20.40,18.00,34.00,39.50,46.20,55.40,62.10,57.90,55.70,43.60,30.20,16.80
1911,24.60,26.40,27.00,37.40,52.40,59.00,61.20,62.40,56.20,42.40,30.20,29.30
1912,10.60,14.80,26.20,41.40,50.30,54.70,62.70,58.30,56.50,41.00,34.50,26.50
1913,28.00,19.00,32.10,39.10,47.30,55.20,61.60,59.00,50.30,44.20,34.70,26.90
1914,25.10,13.20,26.20,37.50,48.30,57.60,60.50,60.90,48.60,45.20,29.60,21.90
1915,18.80,26.70,23.70,41.70,47.70,54.80,60.80,58.70,54.40,42.90,32.90,23.60
1916,25.80,17.80,23.40,38.30,51.60,53.50,64.20,61.10,51.10,38.80,32.40,21.50
1917,19.20,15.60,29.30,38.00,44.10,55.90,62.00,60.00,48.10,36.50,27.20,13.70
1918,7.70,19.80,29.90,37.80,54.50,56.00,57.50,63.40,46.80,44.60,32.80,31.50
1919,23.10,24.70,29.00,37.80,48.70,61.50,62.20,58.40,52.20,50.00,33.50,16.90
1920,14.20,19.80,29.20,36.80,45.10,57.10,57.80,60.00,52.70,43.10,33.50,26.70
1921,22.60,26.80,37.20,42.50,49.40,60.20,65.30,56.80,58.60,40.00,36.30,26.40
1922,17.10,25.30,31.10,40.30,51.50,59.20,61.30,57.60,52.20,41.20,34.90,24.80
1923,24.00,18.00,26.70,34.70,45.00,58.00,59.20,58.30,53.60,37.90,32.90,32.90
1924,17.10,20.00,28.70,35.90,44.70,56.30,57.70,58.50,49.40,38.00,32.00,21.50
1925,18.70,25.80,29.20,39.10,41.80,59.20,60.10,57.40,56.90,38.80,29.80,22.40
1926,19.50,21.80,22.40,32.00,45.20,53.10,60.40,62.60,55.90,42.70,30.00,22.40
1927,20.60,27.20,33.10,37.40,48.60,51.80,60.50,54.40,53.30,43.90,37.30,24.00
1928,20.20,22.00,27.10,35.00,44.20,55.30,61.80,62.30,48.70,43.90,34.70,25.40
1929,16.80,18.60,32.90,41.20,46.30,54.90,60.40,54.60,53.60,40.10,31.20,26.80
1930,21.10,27.40,25.80,38.40,49.20,55.10,59.50,56.80,55.40,38.10,31.20,23.50
1931,22.40,23.80,27.50,36.70,46.60,55.70,64.00,60.80,57.80,44.10,40.00,31.60
1932,32.20,26.80,22.70,34.50,47.20,57.20,59.70,58.30,53.10,43.00,28.80,23.80
1933,28.60,20.70,27.80,38.70,52.00,58.70,61.20,60.40,56.80,40.20,29.20,24.70
1934,23.80,6.40,21.80,35.90,48.30,61.30,63.70,57.40,54.70,40.00,35.00,23.40
1935,19.50,21.50,33.40,36.40,43.70,55.90,64.80,61.80,51.50,41.00,35.30,19.70
1936,15.20,13.40,32.40,34.90,49.80,56.90,60.80,62.70,56.00,43.90,29.70,27.60
1937,29.90,22.10,26.00,37.40,48.20,59.00,60.80,63.60,50.00,41.00,30.60,22.20
1938,22.40,27.70,34.60,40.10,48.00,55.50,63.00,61.90,52.50,41.20,32.00,25.90
1939,24.50,23.50,29.90,36.30,50.00,60.60,59.80,60.30,53.60,42.40,30.00,27.60
1940,9.90,21.60,24.30,34.60,46.60,57.90,60.10,59.90,49.40,40.20,32.00,29.20
1941,21.40,17.40,20.80,40.80,46.40,57.80,62.20,56.60,53.30,47.20,33.30,29.60
1942,19.60,17.00,30.00,40.00,50.00,59.50,61.80,59.60,52.10,44.10,32.50,20.90
1943,22.00,19.80,26.10,32.10,49.20,62.20,62.00,58.80,49.40,39.40,28.60,21.20
1944,23.70,21.60,25.60,36.40,54.70,59.20,60.60,60.10,53.30,41.30,33.50,18.70
1945,14.00,22.00,36.70,40.60,43.80,56.00,61.40,58.70,56.70,40.00,33.20,19.40
1946,20.60,21.50,36.80,35.80,48.00,55.70,59.30,55.40,51.70,43.20,34.20,26.00
1947,26.40,14.10,23.30,38.50,45.70,55.40,58.40,65.00,54.00,46.60,31.00,23.40
1948,12.20,20.50,30.40,41.30,46.80,56.90,62.10,59.00,53.60,39.10,36.80,26.50
1949,29.00,26.40,28.80,35.90,48.00,59.40,64.90,60.20,48.70,46.10,32.00,25.70
1950,30.50,23.00,23.90,33.40,48.20,54.80,58.70,57.50,52.60,44.40,28.50,19.30
1951,23.60,23.20,29.00,37.10,48.30,57.90,61.10,57.80,50.90,43.90,27.20,23.40
1952,24.90,24.90,28.40,40.20,46.80,58.80,63.00,59.60,50.50,36.80,34.00,27.80
1953,27.20,24.90,31.10,37.60,51.40,57.90,60.60,58.60,51.20,40.90,32.10,26.30
1954,20.60,27.10,25.80,42.20,44.00,56.90,58.80,58.80,54.00,45.30,32.00,23.40
1955,18.80,21.40,28.60,43.30,48.80,52.50,64.10,62.80,53.50,42.00,29.00,20.10
1956,20.20,24.50,26.50,35.60,45.40,56.00,60.00,58.80,49.30,44.50,31.20,31.60
1957,17.40,25.80,29.40,41.00,47.80,58.60,60.20,56.70,52.90,38.90,32.70,26.80
1958,19.80,15.20,28.60,38.60,45.50,52.10,63.40,58.30,52.40,41.30,33.30,14.10
1959,15.40,21.00,25.20,38.80,51.00,56.00,61.30,62.90,54.10,43.30,28.80,27.50
1960,24.20,21.40,16.90,41.60,47.10,55.00,56.90,60.90,55.20,41.20,32.60,14.40
1961,14.70,23.50,32.10,34.90,42.70,53.60,60.80,60.40,56.60,42.70,33.60,23.20
1962,17.10,20.40,26.80,37.00,51.60,57.10,58.40,57.30,48.50,42.20,31.00,16.60
1963,12.70,10.50,30.90,36.50,43.60,54.40,58.10,55.40,47.30,41.70,35.10,15.80
1964,20.40,17.50,28.50,38.90,48.60,55.70,60.80,55.40,50.30,36.30,33.10,25.40
1965,18.20,18.00,24.90,36.40,51.80,54.00,56.30,57.70,55.60,38.60,32.90,29.80
1966,15.20,21.90,28.10,37.20,42.30,54.50,61.10,58.50,49.50,37.80,32.20,24.20
1967,23.80,15.80,29.60,39.00,41.40,58.40,59.00,57.80,47.40,40.70,29.00,26.00
1968,14.30,13.50,29.00,38.50,44.40,55.20,60.00,60.90,53.70,42.20,34.10,20.50
1969,18.30,21.10,23.80,38.40,46.80,56.20,62.10,58.40,52.20,40.00,30.90,19.70
1970,12.40,17.90,26.10,39.40,50.80,56.50,60.80,59.60,56.00,45.50,35.70,25.10
1971,15.80,21.40,25.10,32.60,43.30,58.70,58.40,56.80,57.70,47.90,31.50,29.90
1972,20.40,17.40,24.90,35.50,48.30,52.60,61.30,59.30,54.50,39.00,31.90,29.80
1973,21.20,19.80,37.00,39.80,46.20,58.50,61.40,62.00,54.50,44.90,34.70,26.20
1974,25.70,20.50,30.20,38.50,46.10,54.00,59.30,60.20,50.00,38.70,34.30,26.20
